Rep,Genotype,N-level,Inoculation,Type,wet-weight_mg
R3,G2,N1,E,Tuber,126.5
R3,G2,N1,F,Tuber,159.5
R3,G2,N1,G,Tuber,195.5
R3,G2,N2,A,Tuber,142
R3,G2,N2,B,Tuber,91
R3,G2,N2,C,Tuber,69
R3,G2,N2,D,Tuber,139.5
R3,G2,N2,E,Tuber,126.5
R3,G2,N2,F,Tuber,119.5
R3,G2,N2,G,Tuber,118.5
R4,G1,N1,A,Tuber,190.5
R4,G1,N1,B,Tuber,242.5
R4,G1,N1,C,Tuber,181.5
R4,G1,N1,D,Tuber,185.5
R4,G1,N1,E,Tuber,182.5
R4,G1,N1,F,Tuber,173
R4,G1,N1,G,Tuber,215.5
R4,G1,N2,A,Tuber,131
R4,G1,N2,B,Tuber,161.5
R4,G1,N2,C,Tuber,125
R4,G1,N2,D,Tuber,109.5
R4,G1,N2,E,Tuber,155.5
R4,G1,N2,F,Tuber,145.5
R4,G1,N2,G,Tuber,177.5
R4,G2,N1,A,Tuber,214
R4,G2,N1,B,Tuber,193
R4,G2,N1,C,Tuber,183.5
R4,G2,N1,D,Tuber,189
R4,G2,N1,E,Tuber,210.5
R4,G2,N1,F,Tuber,227
R4,G2,N1,G,Tuber,162.5
R4,G2,N2,A,Tuber,148.5
R4,G2,N2,B,Tuber,77
R4,G2,N2,C,Tuber,82.5
R4,G2,N2,D,Tuber,104.5
R4,G2,N2,E,Tuber,112
R4,G2,N2,F,Tuber,123.5
R4,G2,N2,G,Tuber,103.5
